#country+name,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+code,#sector+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26512,Agriculture,,20021069,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,12,Child Protection,,8754881,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26480,Coordination and support services,22936390,36955197,161
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,2,Early Recovery,99148700,24775365,24
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,3,Education,53424943,46492360,87
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,4,Emergency Shelter and NFI,195267386,57368282,29
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,5,Emergency Telecommunications,2211000,0,0
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,6,Food Security,1270715787,830128997,65
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,7,Health,572438179,230137238,40
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,8,Logistics,37878158,33244559,87
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26479,Multi-sector,106714868,42275796,39
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,,Not specified,,342687551,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,9,Nutrition,195414635,119207946,61
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,10,Protection,104106197,42610144,40
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,11,Water Sanitation Hygiene,298793176,140778887,47
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,,Shared Funding,,32991428,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26512,Agriculture,51510347,24665389,47
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,1,Camp Coordination / Management,,749522,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,12,Child Protection,,2036949,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26480,Coordination and support services,17949253,17865495,99
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,2,Early Recovery,56461958,11991251,21
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,3,Education,36431389,13685399,37
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,4,Emergency Shelter and NFI,106018323,19611832,18
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,5,Emergency Telecommunications,3238003,24792095,765
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,6,Food Security,1002058038,743945791,74
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,7,Health,430656804,194666626,45
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,8,Logistics,19470000,31420703,161
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,15,Mine Action,10000000,9176874,91
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26479,Multi-sector,80958478,29573842,36
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,,Not specified,,318584721,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,9,Nutrition,182179941,121304273,66
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,10,Protection,72054751,39265867,54
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,11,Water Sanitation Hygiene,269808855,97671015,36
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,,Shared Funding,,64005415,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,12,Child Protection,26208644,6810179,25
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,26480,Coordination and support services,63444837,21585415,34
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,2,Early Recovery,83990807,11012153,13
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,3,Education,33365012,5596523,16
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,4,Emergency Shelter and NFI,158287203,25354518,16
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,5,Emergency Telecommunications,1820290,,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,6,Food Security,745973868,464001552,62
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,13,Gender Based Violence,9083450,2351754,25
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,7,Health,285209558,102734741,36
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,8,Logistics,44000000,20590024,46
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,26479,Multi-sector,73875554,8832684,11
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,,Not specified,,217684417,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,9,Nutrition,102898303,60825082,59
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,10,Protection,80740543,22478467,27
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,11,Water Sanitation Hygiene,141129993,55928278,39
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,26512,Agriculture,,10577242,
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,12,Child Protection,21943119,5972174,27
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,26480,Coordination and support services,8759134,17749661,202
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,2,Early Recovery,48491688,10184631,21
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,3,Education,17480344,7266851,41
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,4,Emergency Shelter and NFI,152424080,44241197,29
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,5,Emergency Telecommunications,2119622,678302,32
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,6,Food Security,791902005,230567422,29
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,13,Gender Based Violence,6886000,,
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,7,Health,131839469,90996814,69
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,8,Logistics,39837134,22723918,57
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,26479,Multi-sector,85750000,20185298,23
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,,Not specified,,283775884,
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,,Not specified,12448799,,
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,9,Nutrition,76911564,81004267,105
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,10,Protection,103793243,18072636,17
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,11,Water Sanitation Hygiene,100235247,41353388,41
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,26512,Agriculture,17376789,5114053,29
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,26480,Coordination and support services,5200000,5676414,109
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,2,Early Recovery,43069561,13070708,30
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,3,Education,15224249,2831765,18
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,4,Emergency Shelter and NFI,27609864,3218010,11
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,6,Food Security,208989223,132593225,63
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,7,Health,115862797,64214780,55
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,8,Logistics,2247092,1458158,64
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,15,Mine Action,10094940,,
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,26479,Multi-sector,85027583,12821394,15
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,,Not specified,,78616016,
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,10,Protection,30996387,14229196,45
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,11,Water Sanitation Hygiene,34284899,23969114,69
Yemen,438,Yemen 2014,HYEM14,1/1/2014,12/31/2014,2014,,Shared Funding,,124516,
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,26512,Agriculture,55009305,26118250,47
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,26480,Coordination and support services,5796779,6293351,108
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,2,Early Recovery,51389138,21846273,42
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,3,Education,19726709,3006277,15
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,4,Emergency Shelter and NFI,40193358,14542436,36
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,6,Food Security,214946457,182092692,84
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,7,Health,156524467,60269867,38
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,8,Logistics,1600000,1242851,77
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,15,Mine Action,1750000,1734693,99
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,26479,Multi-sector,51901040,24499179,47
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,,Not specified,,28482013,
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,10,Protection,40769870,5960263,14
Yemen,414,Yemen Humanitarian Response Plan 2013,CYEM13,1/1/2013,12/31/2013,2013,11,Water Sanitation Hygiene,66162439,19756735,29
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,26512,Agriculture,47972777,24622569,51
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,1,Camp Coordination / Management,150075,,
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,26480,Coordination and support services,6869832,3609783,52
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,2,Early Recovery,41253223,4428682,10
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,3,Education,18469195,4862166,26
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,4,Emergency Shelter and NFI,28833338,20458584,70
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,6,Food Security,159429816,123679189,77
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,7,Health,153903840,69876465,45
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,8,Logistics,1120758,1284008,114
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,15,Mine Action,4078300,2506708,61
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,26479,Multi-sector,42001411,23562494,56
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,,Not specified,,15339981,
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,10,Protection,22775130,5574971,24
Yemen,378,Yemen Humanitarian Response Plan 2012,CYEM12,1/1/2012,12/31/2012,2012,11,Water Sanitation Hygiene,58745173,26568846,45
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,26512,Agriculture,5661315,3797293,67
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,26480,Coordination and support services,6732849,5163679,76
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,2,Early Recovery,7965310,721479,9
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,3,Education,4902335,1789645,36
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,4,Emergency Shelter and NFI,22616326,12836153,56
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,6,Food Security,133072437,98659850,74
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,7,Health,39687423,26208930,66
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,26479,Multi-sector,42394205,5525154,13
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,,Not specified,,21744436,
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,10,Protection,16264134,5430355,33
Yemen,355,Yemen Humanitarian Response Plan 2011,CYEM11,1/1/2011,12/31/2011,2011,11,Water Sanitation Hygiene,13013366,12512314,96
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,26512,Agriculture,5818000,677209,11
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,1,Camp Coordination / Management,240429,67959,28
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,26480,Coordination and support services,3905299,4209597,107
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,2,Early Recovery,3883900,789889,20
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,3,Education,3744536,702344,18
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,4,Emergency Shelter and NFI,18649763,14699871,78
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,6,Food Security,58648112,38027679,64
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,7,Health,40384382,27270909,67
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,15,Mine Action,506716,444777,87
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,26479,Multi-sector,30337657,21001498,69
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,,Not specified,,3437950,
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,,Not specified,1018211,,
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,10,Protection,12004260,5709701,47
Yemen,314,Yemen Humanitarian Response Plan 2010,CYEM10,1/1/2010,12/31/2010,2010,11,Water Sanitation Hygiene,6980105,4333905,62
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,26512,Agriculture,704007,,
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,26480,Coordination and support services,125000,717893,574
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,3,Education,1060000,856683,80
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,4,Emergency Shelter and NFI,5522317,5724882,103
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,6,Food Security,4310000,4165574,96
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,7,Health,4391500,2809919,63
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,,Not specified,,-1,
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,10,Protection,2713676,2181760,80
Yemen,317,Yemen Flash Appeal (Revised) (September - December 2009),FYEM09,8/1/2009,12/31/2009,2009,11,Water Sanitation Hygiene,3842000,3435801,89
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,26512,Agriculture,1700000,,
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,26480,Coordination and support services,666610,224191,33
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,3,Education,770000,,
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,4,Emergency Shelter and NFI,1671657,1519593,90
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,6,Food Security,1757800,1169208,66
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,7,Health,3281500,1283925,39
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,,Not specified,,297460,
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,,Not specified,-6369889,,
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,10,Protection,315583,134583,42
Yemen,306,Yemen Floods Response Plan (November - April) 2008 [unrevised as of April 2008; appeal closed at 45% funding and unmet requirements reduced to zero] ,FYEM0809,11/1/2008,4/30/2009,2008,11,Water Sanitation Hygiene,1320000,484301,36
